DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,0,4,0
03/02/2020 12:00:00 AM,0,21,0
03/03/2020 12:00:00 AM,1,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,17,0
03/09/2020 12:00:00 AM,57,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,155,90,1
03/12/2020 12:00:00 AM,357,94,0
03/13/2020 12:00:00 AM,619,157,0
03/14/2020 12:00:00 AM,642,157,2
03/15/2020 12:00:00 AM,1036,191,5
03/16/2020 12:00:00 AM,2121,316,8
03/17/2020 12:00:00 AM,2452,356,8
03/18/2020 12:00:00 AM,2973,470,20
03/19/2020 12:00:00 AM,3707,560,24
03/20/2020 12:00:00 AM,4007,665,47
03/21/2020 12:00:00 AM,2637,701,44
03/22/2020 12:00:00 AM,2580,725,50
03/23/2020 12:00:00 AM,3571,1042,82
03/24/2020 12:00:00 AM,4503,1167,95
03/25/2020 12:00:00 AM,4874,1311,123
03/26/2020 12:00:00 AM,5050,1455,190
03/27/2020 12:00:00 AM,5120,1403,218
03/28/2020 12:00:00 AM,3478,1370,274
03/29/2020 12:00:00 AM,3562,1411,292
03/30/2020 12:00:00 AM,6131,1722,325
03/31/2020 12:00:00 AM,5466,1702,385
04/01/2020 12:00:00 AM,5454,1651,447
04/02/2020 12:00:00 AM,5756,1628,499
04/03/2020 12:00:00 AM,5670,1603,498
04/04/2020 12:00:00 AM,3866,1350,512
04/05/2020 12:00:00 AM,3787,1338,580
04/06/2020 12:00:00 AM,6365,1724,575
04/07/2020 12:00:00 AM,6049,1610,599
04/08/2020 12:00:00 AM,5583,1548,569
04/09/2020 12:00:00 AM,5071,1424,561
04/10/2020 12:00:00 AM,4514,1346,540
04/11/2020 12:00:00 AM,3731,1109,542
04/12/2020 12:00:00 AM,2889,997,572
04/13/2020 12:00:00 AM,3313,1214,570
04/14/2020 12:00:00 AM,4147,1095,510
04/15/2020 12:00:00 AM,3877,984,455
04/16/2020 12:00:00 AM,3529,884,414
04/17/2020 12:00:00 AM,3584,903,385
04/18/2020 12:00:00 AM,2172,676,390
04/19/2020 12:00:00 AM,2346,592,399
04/20/2020 12:00:00 AM,3794,728,364
04/21/2020 12:00:00 AM,3065,668,324
04/22/2020 12:00:00 AM,3462,600,313
04/23/2020 12:00:00 AM,2842,539,332
04/24/2020 12:00:00 AM,2535,554,316
04/25/2020 12:00:00 AM,1597,405,264
04/26/2020 12:00:00 AM,1003,376,247
04/27/2020 12:00:00 AM,2290,448,271
04/28/2020 12:00:00 AM,2729,447,229
04/29/2020 12:00:00 AM,2342,408,240
04/30/2020 12:00:00 AM,2022,349,225
05/01/2020 12:00:00 AM,1889,356,210
05/02/2020 12:00:00 AM,1059,266,191
05/03/2020 12:00:00 AM,786,266,177
05/04/2020 12:00:00 AM,1552,340,159
05/05/2020 12:00:00 AM,1514,319,152
05/06/2020 12:00:00 AM,1399,306,151
05/07/2020 12:00:00 AM,1236,283,142
05/08/2020 12:00:00 AM,1082,296,131
05/09/2020 12:00:00 AM,657,210,100
05/10/2020 12:00:00 AM,458,167,103
05/11/2020 12:00:00 AM,1232,276,104
